Study,DOI,Citation,Species,BioProject,GEO_series,GEO_sample,SRA_experiment,SRA_runs,Download_URL,Original_sample_id,Undergone_treatment.Contains_transgene.Mutant_phenotype,Cultivar,Growth_medium,Plant_stage,Tissue,Tissue_size,Protoplasting_time,Number_of_cells.loaded,Library_protocol,Spike.in
Ryu_et_al_2019,10.1104/pp.18.01482,"Ryu, K. H., Huang, L., Kang, H. M., & Schiefelbein, J. (2019). Single-Cell RNA Sequencing Resolves Molecular Relationships Among Individual Plant Cells. Plant Physiology, 179(4), 1444–1456. https://doi.org/10.1104/pp.18.01482",Arabidopsis thaliana,PRJNA507252,GSE123013,GSM3490689,SRX5074330,"SRR8257100, SRR8257101",,Wild-type - Replicate 1,No,columbia,1x Murashige and Skoog (MS) medium,5 day,root tip,N.A.,1 h,N.A.,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A.
Ryu_et_al_2019,10.1104/pp.18.01482,"Ryu, K. H., Huang, L., Kang, H. M., & Schiefelbein, J. (2019). Single-Cell RNA Sequencing Resolves Molecular Relationships Among Individual Plant Cells. Plant Physiology, 179(4), 1444–1456. https://doi.org/10.1104/pp.18.01482",Arabidopsis thaliana,PRJNA507252,GSE123013,GSM3490690,SRX5074331,SRR8257102,,Wild-type - Replicate 2,No,columbia,1x Murashige and Skoog (MS) medium,5 day,root tip,N.A.,1 h,N.A.,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A.
Ryu_et_al_2019,10.1104/pp.18.01482,"Ryu, K. H., Huang, L., Kang, H. M., & Schiefelbein, J. (2019). Single-Cell RNA Sequencing Resolves Molecular Relationships Among Individual Plant Cells. Plant Physiology, 179(4), 1444–1456. https://doi.org/10.1104/pp.18.01482",Arabidopsis thaliana,PRJNA507252,GSE123013,GSM3490691,SRX5074332,SRR8257103,,Wild-type - Replicate 3,No,columbia,1x Murashige and Skoog (MS) medium,5 day,root tip,N.A.,1 h,N.A.,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A.
Ryu_et_al_2019,10.1104/pp.18.01482,"Ryu, K. H., Huang, L., Kang, H. M., & Schiefelbein, J. (2019). Single-Cell RNA Sequencing Resolves Molecular Relationships Among Individual Plant Cells. Plant Physiology, 179(4), 1444–1456. https://doi.org/10.1104/pp.18.01482",Arabidopsis thaliana,PRJNA507252,GSE123013,GSM3490692,SRX5074333,"SRR8257104, SRR8257105",,rhd6-1,Yes,rhd-6,1x Murashige and Skoog (MS) medium,5 day,root tip,N.A.,1 h,N.A.,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A.
Ryu_et_al_2019,10.1104/pp.18.01482,"Ryu, K. H., Huang, L., Kang, H. M., & Schiefelbein, J. (2019). Single-Cell RNA Sequencing Resolves Molecular Relationships Among Individual Plant Cells. Plant Physiology, 179(4), 1444–1456. https://doi.org/10.1104/pp.18.01482",Arabidopsis thaliana,PRJNA507252,GSE123013,GSM3490693,SRX5074334,SRR8257106,,gl2,Yes,gl2,1x Murashige and Skoog (MS) medium,5 day,root tip,N.A.,1 h,N.A.,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A.
Denyer_et_al_2019,10.1016/j.devcel.2019.02.022,"Denyer, T., Ma, X., Klesen, S., Scacchi, E., Nieselt, K., & Timmermans, M. C. P. (2019). Spatiotemporal Developmental Trajectories in the Arabidopsis Root Revealed Using High-Throughput Single-Cell RNA Sequencing. Developmental Cell, 48(6), 840-852.e5. https://doi.org/10.1016/j.devcel.2019.02.022",Arabidopsis thaliana,PRJNA509920,GSE123818,GSM3511858,SRX5128615,SRR10136142,https://sra-pub-src-2.s3.amazonaws.com/SRR10136142/Rep1_col_root_wt_postsorted_genome_bam.bam.1,Col,No,Col-0,0.5x Murashige and Skoog (MS) medium,6 day,root tip,1 cm,2 h,12200,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A.
Denyer_et_al_2019,10.1016/j.devcel.2019.02.022,"Denyer, T., Ma, X., Klesen, S., Scacchi, E., Nieselt, K., & Timmermans, M. C. P. (2019). Spatiotemporal Developmental Trajectories in the Arabidopsis Root Revealed Using High-Throughput Single-Cell RNA Sequencing. Developmental Cell, 48(6), 840-852.e5. https://doi.org/10.1016/j.devcel.2019.02.022",Arabidopsis thaliana,PRJNA509920,GSE123818,GSM3511859,SRX5128616,SRR10136143,https://sra-pub-src-2.s3.amazonaws.com/SRR10136143/Rep2_MIR166_root_wt_postsorted_genome_bam.bam.1,pMIR166:erGFP,Yes,Col-0,0.5x Murashige and Skoog (MS) medium,6 day,root tip,1 cm,2 h,12200,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A.
Denyer_et_al_2019,10.1016/j.devcel.2019.02.022,"Denyer, T., Ma, X., Klesen, S., Scacchi, E., Nieselt, K., & Timmermans, M. C. P. (2019). Spatiotemporal Developmental Trajectories in the Arabidopsis Root Revealed Using High-Throughput Single-Cell RNA Sequencing. Developmental Cell, 48(6), 840-852.e5. https://doi.org/10.1016/j.devcel.2019.02.022",Arabidopsis thaliana,PRJNA509920,GSE123818,GSM3511860,SRX5128617,SRR10136144,https://sra-pub-src-2.s3.amazonaws.com/SRR10136144/shr_root_mut_postsorted_genome_bam.bam.1,shr-3,Yes,Ler.,0.5x Murashige and Skoog (MS) medium,6 day,root tip,1 cm,2 h,12200,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A.
Jean-baptiste_et_al_2019,10.1105/tpc.18.00785,"Jean-Baptiste, K., McFaline-Figueroa, J. L., Alexandre, C. M., Dorrity, M. W., Saunders, L., Bubb, K. L., Trapnell, C., Fields, S., Queitsch, C., & Cuperus, J. T. (2019). Dynamics of Gene Expression in Single Root Cells of Arabidopsis thaliana. The Plant Cell, 31(5), 993–1011. https://doi.org/10.1105/tpc.18.00785",Arabidopsis thaliana,PRJNA497883,GSE121619,GSM4466787,SRX8089019,"SRR11517408, SRR11517409, SRR11517410, SRR11517411, SRR11517412, SRR11517413, SRR11517414, SRR11517415, SRR11517416, SRR11517417, SRR11517418, SRR11517419, SRR11517420, SRR11517421, SRR11517422, SRR11517423",,whole_root_Control_1,No,Col-0,1x Murashige and Skoog (MS) medium + 1% sucrose,7 day,whole root,whole root,1.5 h ,N.A.,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A.
Jean-baptiste_et_al_2019,10.1105/tpc.18.00785,"Jean-Baptiste, K., McFaline-Figueroa, J. L., Alexandre, C. M., Dorrity, M. W., Saunders, L., Bubb, K. L., Trapnell, C., Fields, S., Queitsch, C., & Cuperus, J. T. (2019). Dynamics of Gene Expression in Single Root Cells of Arabidopsis thaliana. The Plant Cell, 31(5), 993–1011. https://doi.org/10.1105/tpc.18.00785",Arabidopsis thaliana,PRJNA497883,GSE121619,GSM4466788,SRX8089020,"SRR11517424, SRR11517425, SRR11517426, SRR11517427",,whole_root_Control_2,No,Col-0,1x Murashige and Skoog (MS) medium + 1% sucrose,8 day,whole root,whole root,1.5 h ,N.A.,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A.
