"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","RDataPath","Tags"
"Denyer_2019_filtered","filtered counts for scRNA-seq data from 3 arabidopsis root tip samples.","3.24","TAIR12","BAM","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123818","1.0.0","Arabidopsis thaliana",3702,NA,"NCBI","Vivek Pal <vivek86_sit@jnu.ac.in>","list","Rds","https://zenodo.org/","records/20976557/files/Denyer_et_al_2019_filtered_sce_list.rds","scRNA-seq:arabidopsis:root"
"Denyer_2019_unfiltered","unfiltered counts for scRNA-seq data from 3 arabidopsis root tip samples.","3.24","TAIR12","BAM","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123818","1.0.0","Arabidopsis thaliana",3702,NA,"NCBI","Vivek Pal <vivek86_sit@jnu.ac.in>","list","Rds","https://zenodo.org/","records/20976557/files/Denyer_et_al_2019_unfiltered_sce_list.rds","scRNA-seq:arabidopsis:root"
"Jean-baptiste_2019_filtered","filtered counts for scRNA-seq data from 3 arabidopsis root tip samples.","3.24","TAIR12","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE121619","1.0.0","Arabidopsis thaliana",3702,NA,"NCBI","Vivek Pal <vivek86_sit@jnu.ac.in>","list","Rds","https://zenodo.org/","records/20976557/files/Jean-baptiste_et_al_2019_filtered_sce_list.rds","scRNA-seq:arabidopsis:root"
"Jean-baptiste_2019_unfiltered","unfiltered counts for scRNA-seq data from 3 arabidopsis root tip samples.","3.24","TAIR12","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE121619","1.0.0","Arabidopsis thaliana",3702,NA,"NCBI","Vivek Pal <vivek86_sit@jnu.ac.in>","list","Rds","https://zenodo.org/","records/20976557/files/Jean-baptiste_et_al_2019_unfiltered_sce_list.rds","scRNA-seq:arabidopsis:root"
"Ryu_2019_filtered","filtered counts for scRNA-seq data from 5 arabidopsis root tip samples.","3.24","TAIR12","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123013","1.0.0","Arabidopsis thaliana",3702,NA,"NCBI","Vivek Pal <vivek86_sit@jnu.ac.in>","list","Rds","https://zenodo.org/","records/20976557/files/Ryu_et_al_2019_filtered_sce_list.rds","scRNA-seq:arabidopsis:root"
"Ryu_2019_unfiltered","unfiltered counts for scRNA-seq data from 5 arabidopsis root tip samples.","3.24","TAIR12","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123013","1.0.0","Arabidopsis thaliana",3702,NA,"NCBI","Vivek Pal <vivek86_sit@jnu.ac.in>","list","Rds","https://zenodo.org/","records/20976557/files/Ryu_et_al_2019_unfiltered_sce_list.rds","scRNA-seq:arabidopsis:root"
"Zhang_2019_filtered","filtered counts for scRNA-seq data from 1 arabidopsis root tip sample.","3.24","TAIR12","FASTQ","https://trace.ncbi.nlm.nih.gov/Traces/index.html?view=run_browser&acc=SRR8485805","1.0.0","Arabidopsis thaliana",3702,NA,"NCBI","Vivek Pal <vivek86_sit@jnu.ac.in>","list","Rds","https://zenodo.org/","records/20976557/files/Zhang_et_al_2019_filtered_sce_list.rds","scRNA-seq:arabidopsis:root"
"Zhang_2019_unfiltered","unfiltered counts for scRNA-seq data from 1 arabidopsis root tip sample.","3.24","TAIR12","FASTQ","https://trace.ncbi.nlm.nih.gov/Traces/index.html?view=run_browser&acc=SRR8485805","1.0.0","Arabidopsis thaliana",3702,NA,"NCBI","Vivek Pal <vivek86_sit@jnu.ac.in>","list","Rds","https://zenodo.org/","records/20976557/files/Zhang_et_al_2019_unfiltered_sce_list.rds","scRNA-seq:arabidopsis:root"
"Shulse_2019_filtered","filtered counts for scRNA-seq data from 10 arabidopsis root tip samples.","3.24","TAIR12","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE122687","1.0.0","Arabidopsis thaliana",3702,NA,"NCBI","Vivek Pal <vivek86_sit@jnu.ac.in>","list","Rds","https://zenodo.org/","records/20976557/files/Shulse_et_al_2019_filtered_sce_list.rds","scRNA-seq:arabidopsis:root"
"Shulse_2019_unfiltered","unfiltered counts for scRNA-seq data from 10 arabidopsis root tip samples.","3.24","TAIR12","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE122687","1.0.0","Arabidopsis thaliana",3702,NA,"NCBI","Vivek Pal <vivek86_sit@jnu.ac.in>","list","Rds","https://zenodo.org/","records/20976557/files/Shulse_et_al_2019_unfiltered_sce_list.rds","scRNA-seq:arabidopsis:root"
"Wendrich_2020_filtered","filtered counts for scRNA-seq data from 3 arabidopsis root tip samples.","3.24","TAIR12","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE141730","1.0.0","Arabidopsis thaliana",3702,NA,"NCBI","Vivek Pal <vivek86_sit@jnu.ac.in>","list","Rds","https://zenodo.org/","records/20976557/files/Wendrich_et_al_2020_filtered_sce_list.rds","scRNA-seq:arabidopsis:root"
"Wendrich_2020_unfiltered","unfiltered counts for scRNA-seq data from 3 arabidopsis root tip samples.","3.24","TAIR12","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE141730","1.0.0","Arabidopsis thaliana",3702,NA,"NCBI","Vivek Pal <vivek86_sit@jnu.ac.in>","list","Rds","https://zenodo.org/","records/20976557/files/Wendrich_et_al_2020_unfiltered_sce_list.rds","scRNA-seq:arabidopsis:root"
"Shahan_2022_filtered","filtered counts for scRNA-seq data from 19 arabidopsis root tip samples.","3.24","TAIR12","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE152766","1.0.0","Arabidopsis thaliana",3702,NA,"NCBI","Vivek Pal <vivek86_sit@jnu.ac.in>","list","Rds","https://zenodo.org/","records/20976557/files/Shahan_et_al_2022_filtered_sce_list.rds","scRNA-seq:arabidopsis:root"
"Shahan_2022_unfiltered","unfiltered counts for scRNA-seq data from 19 arabidopsis root tip samples.","3.24","TAIR12","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE152766","1.0.0","Arabidopsis thaliana",3702,NA,"NCBI","Vivek Pal <vivek86_sit@jnu.ac.in>","list","Rds","https://zenodo.org/","records/20976557/files/Shahan_et_al_2022_unfiltered_sce_list.rds","scRNA-seq:arabidopsis:root"
"Nolan_2023_filtered","filtered counts for scRNA-seq data from 30 arabidopsis root tip samples.","3.24","TAIR12","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212230","1.0.0","Arabidopsis thaliana",3702,NA,"NCBI","Vivek Pal <vivek86_sit@jnu.ac.in>","list","Rds","https://zenodo.org/","records/20976557/files/Nolan_et_al_2023_filtered_sce_list.rds","scRNA-seq:arabidopsis:root"
"Nolan_2023_unfiltered","unfiltered counts for scRNA-seq data from 30 arabidopsis root tip samples.","3.24","TAIR12","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212230","1.0.0","Arabidopsis thaliana",3702,NA,"NCBI","Vivek Pal <vivek86_sit@jnu.ac.in>","list","Rds","https://zenodo.org/","records/20976557/files/Nolan_et_al_2023_unfiltered_sce_list.rds","scRNA-seq:arabidopsis:root"
